Accession,Geo_Location
MW512911,Gabon
MW512913,Gabon
MW512915,Gabon
MW471658,Serbia
MW455118,Iran
MW450960,Iran
MW441315,France
MW440431,Iran
MW440434,Iran
MW440435,Iran
MW440437,Iran
MW440440,Iran
MW440441,Iran
7B3B_P,
7B3C_P,
7ACT_B,
MW397519,Russia: Moscow
MW368451,"China: Hebei, Shijiazhuang"
MW368452,"China: Hebei, Shijiazhuang"
MW368453,"China: Hebei, Shijiazhuang"
MW368454,"China: Hebei, Shijiazhuang"
MW368456,"China: Hebei, Shijiazhuang"
MW368457,"China: Hebei, Shijiazhuang"
MW368460,"China: Hebei, Shijiazhuang"
MT724343,USA
MT724344,USA
MW292549,Iran
MW292557,Iran
MW281571,Brazil
MT263143,China
MT263144,China
MT263148,China
MW113232,Iran
MW055436,Iran
MW040510,Iran
MW040511,Iran
MW040512,Iran
MW040514,Iran
MW040515,Iran
MW040520,Iran
MW040521,Iran
MW040523,Iran
MW040524,Iran
MW040525,Iran
MW040527,Iran
MW040501,Venezuela
MW040502,Venezuela
MW039449,Iran
MW039533,Iran
MW039602,Iran
7AAP_P,
MT843231,Italy: Milan
MT843232,Italy: Milan
MT843235,Italy: Turin
MT843238,Italy: Turin
MT843239,Italy: Turin
MT936989,Iraq
MT936990,Iraq
MT936991,Iraq
MT936992,Iraq
MT936994,Iraq
MT936995,Iraq
MT936998,Iraq
MT936999,Iraq
MT937001,Iraq
MT937006,Iraq
MT937008,Iraq
MT937009,Iraq
MT937010,Iraq
MT937011,Iraq
MT937014,Iraq
MT937015,Iraq
MT937018,Iraq
MT937020,Iraq
MT937021,Iraq
MT937025,Iraq
MT911468,China
MT911470,China
MT903461,Iran
6XRZ_A,
MT875582,"Iraq: Kuedistan region, Erbil"
MT875583,"Iraq: Kuedistan region, Erbil"
MT875590,"Iraq: Kuedistan region, Erbil"
MT860462,China
MT860463,China
MT856443,China
MT614350,Italy
MT614352,Italy
MT614354,Italy
MT798848,India
MT729362,Mexico: Mexico City
MT729366,Mexico: Mexico State
MT729372,Mexico: Mexico State
MT729379,Mexico: Mexico State
MT729380,Mexico: Mexico State
MT729382,Mexico: Mexico State
MT729386,Mexico: Mexico State
MT729388,Mexico: Morelos
MT704954,Bangladesh
MT676411,Bangladesh
6X2G_F,
MT598148,Iran
MT598149,Iran
MT598150,Iran
MT598152,Iran
MT598153,Iran
MT373161,Italy: Rome
MT502913,Thailand
MT502925,Thailand
MT502931,Thailand
MT502932,Thailand
MT502935,Thailand
MT502943,Thailand
MT502944,Thailand
MT502945,Thailand
MT502946,Thailand
MT502947,Thailand
MT502949,Thailand
MT502951,Thailand
MT502953,Thailand
MT502954,Thailand
MT502957,Thailand
MT502958,Thailand
MT502960,Thailand
MT502963,Thailand
MT502965,Thailand
MT502970,Thailand
MT502971,Thailand
MT502972,Thailand
MT502976,Thailand
MT502982,Thailand
MT502983,Thailand
MT502985,Thailand
MT502986,Thailand
MT502988,Thailand
MT502990,Thailand
MT502991,Thailand
MT502993,Thailand
MT502994,Thailand
MT502995,Thailand
MT502996,Thailand
MT502998,Thailand
MT502999,Thailand
MT503002,Thailand
MT503003,Thailand
MT503006,Thailand
MT503009,Thailand
MT503010,Thailand
MT503012,Thailand
MT503013,Thailand
MT503014,Thailand
MT503016,Thailand
MT503019,Thailand
MT503021,Thailand
MT503025,Thailand
MT503032,Thailand
MT503040,Thailand
MT503046,Thailand
MT503047,Thailand
MT503050,Thailand
MT503057,Thailand
MT503066,Thailand
MT503067,Thailand
MT503068,Thailand
MT503083,Thailand
MT503086,Thailand
MT503087,Thailand
MT503090,Thailand
MT503092,Thailand
MT503094,Thailand
MT503099,Thailand
MT457389,Italy: Palermo
MT450426,Iran
MT434818,Serbia
MT415370,China
MT415373,China
MT415374,China
MT415375,China
MT415376,China
MT415833,China
MT415840,China
MT359231,Serbia
MT344135,Nigeria
MT324681,Tunisia
MT324682,Tunisia
MT324683,Tunisia
MT232870,Iran
MT232871,Iran
MT232872,Iran
MT186676,Iran: Tehran
MT186677,Iran: Qum
MT186682,Iran: Tehran
MT163737,Iran
MT127115,Viet Nam
MT111895,Australia: Queensland
MT111896,Australia: Queensland
MT081065,China: HuaShang
MT081067,China: HuaShang
MT042777,China: Wuhan
MT050415,Australia
