Accession,Geo_Location,Collection_Date
MW512911,Gabon,3/10/20
MW512913,Gabon,3/16/20
MW512915,Gabon,4/3/20
MW471658,Serbia,2/7/20
MW455118,Iran,7/22/20
MW450960,Iran,7/30/20
MW441315,France,10/9/20
MW440431,Iran,6/1/20
MW440434,Iran,6/1/20
MW440435,Iran,6/1/20
MW440437,Iran,6/1/20
MW440440,Iran,6/1/20
MW440441,Iran,6/1/20
7B3B_P,,
7B3C_P,,
7ACT_B,,
MW397519,Russia: Moscow,10/13/20
MW368451,"China: Hebei, Shijiazhuang",4/8/20
MW368452,"China: Hebei, Shijiazhuang",4/9/20
MW368453,"China: Hebei, Shijiazhuang",4/9/20
MW368454,"China: Hebei, Shijiazhuang",4/9/20
MW368456,"China: Hebei, Shijiazhuang",2/1/20
MW368457,"China: Hebei, Shijiazhuang",2/13/20
MW368460,"China: Hebei, Shijiazhuang",2/3/20
MT724343,USA,4/4/20
MT724344,USA,4/4/20
MW292549,Iran,4/18/20
MW292557,Iran,4/18/20
MW281571,Brazil,8/28/20
MT263143,China,2/1/20
MT263144,China,2/1/20
MT263148,China,2/1/20
MW113232,Iran,5/13/20
MW055436,Iran,3/20/20
MW040510,Iran,4/27/20
MW040511,Iran,4/27/20
MW040512,Iran,4/25/20
MW040514,Iran,4/25/20
MW040515,Iran,3/22/20
MW040520,Iran,3/28/20
MW040521,Iran,3/20/20
MW040523,Iran,3/20/20
MW040524,Iran,3/22/20
MW040525,Iran,4/25/20
MW040527,Iran,4/22/20
MW040501,Venezuela,5/25/20
MW040502,Venezuela,5/21/20
MW039449,Iran,3/20/20
MW039533,Iran,3/20/20
MW039602,Iran,4/27/20
7AAP_P,,
MT843231,Italy: Milan,2/26/20
MT843232,Italy: Milan,2/23/20
MT843235,Italy: Turin,12/18/19
MT843238,Italy: Turin,2/25/20
MT843239,Italy: Turin,2/26/20
MT936989,Iraq,6/1/20
MT936990,Iraq,6/1/20
MT936991,Iraq,6/1/20
MT936992,Iraq,6/1/20
MT936994,Iraq,6/1/20
MT936995,Iraq,6/1/20
MT936998,Iraq,6/1/20
MT936999,Iraq,6/1/20
MT937001,Iraq,6/1/20
MT937006,Iraq,6/1/20
MT937008,Iraq,6/1/20
MT937009,Iraq,6/1/20
MT937010,Iraq,6/1/20
MT937011,Iraq,6/1/20
MT937014,Iraq,6/1/20
MT937015,Iraq,6/1/20
MT937018,Iraq,6/1/20
MT937020,Iraq,6/1/20
MT937021,Iraq,6/1/20
MT937025,Iraq,6/1/20
MT911468,China,8/14/20
MT911470,China,8/14/20
MT903461,Iran,4/4/20
6XRZ_A,,
MT875582,"Iraq: Kuedistan region, Erbil",5/25/20
MT875583,"Iraq: Kuedistan region, Erbil",5/25/20
MT875590,"Iraq: Kuedistan region, Erbil",5/25/20
MT860462,China,2/2/20
MT860463,China,2/2/20
MT856443,China,1/31/20
MT614350,Italy,3/1/20
MT614352,Italy,3/1/20
MT614354,Italy,3/1/20
MT798848,India,6/19/20
MT729362,Mexico: Mexico City,4/4/20
MT729366,Mexico: Mexico State,4/12/20
MT729372,Mexico: Mexico State,4/16/20
MT729379,Mexico: Mexico State,4/16/20
MT729380,Mexico: Mexico State,4/23/20
MT729382,Mexico: Mexico State,4/21/20
MT729386,Mexico: Mexico State,5/1/20
MT729388,Mexico: Morelos,4/30/20
MT704954,Bangladesh,6/8/20
MT676411,Bangladesh,6/8/20
6X2G_F,,
MT598148,Iran,3/10/20
MT598149,Iran,3/10/20
MT598150,Iran,3/10/20
MT598152,Iran,3/10/20
MT598153,Iran,3/10/20
MT373161,Italy: Rome,4/1/20
MT502913,Thailand,3/17/20
MT502925,Thailand,3/24/20
MT502931,Thailand,3/20/20
MT502932,Thailand,3/16/20
MT502935,Thailand,4/9/20
MT502943,Thailand,3/16/20
MT502944,Thailand,3/16/20
MT502945,Thailand,3/16/20
MT502946,Thailand,3/17/20
MT502947,Thailand,3/10/20
MT502949,Thailand,3/14/20
MT502951,Thailand,3/17/20
MT502953,Thailand,3/17/20
MT502954,Thailand,3/17/20
MT502957,Thailand,3/20/20
MT502958,Thailand,3/14/20
MT502960,Thailand,3/15/20
MT502963,Thailand,3/23/20
MT502965,Thailand,3/24/20
MT502970,Thailand,3/23/20
MT502971,Thailand,3/20/20
MT502972,Thailand,3/16/20
MT502976,Thailand,4/10/20
MT502982,Thailand,3/14/20
MT502983,Thailand,3/16/20
MT502985,Thailand,3/16/20
MT502986,Thailand,3/17/20
MT502988,Thailand,3/13/20
MT502990,Thailand,3/14/20
MT502991,Thailand,3/17/20
MT502993,Thailand,3/17/20
MT502994,Thailand,3/17/20
MT502995,Thailand,3/20/20
MT502996,Thailand,3/20/20
MT502998,Thailand,3/14/20
MT502999,Thailand,3/15/20
MT503002,Thailand,3/22/20
MT503003,Thailand,3/23/20
MT503006,Thailand,1/4/20
MT503009,Thailand,3/24/20
MT503010,Thailand,3/23/20
MT503012,Thailand,3/16/20
MT503013,Thailand,4/12/20
MT503014,Thailand,4/7/20
MT503016,Thailand,4/10/20
MT503019,Thailand,3/14/20
MT503021,Thailand,3/12/20
MT503025,Thailand,3/16/20
MT503032,Thailand,3/16/20
MT503040,Thailand,3/15/20
MT503046,Thailand,1/4/20
MT503047,Thailand,3/22/20
MT503050,Thailand,3/23/20
MT503057,Thailand,4/10/20
MT503066,Thailand,3/17/20
MT503067,Thailand,3/10/20
MT503068,Thailand,3/13/20
MT503083,Thailand,3/23/20
MT503086,Thailand,1/4/20
MT503087,Thailand,3/22/20
MT503090,Thailand,3/23/20
MT503092,Thailand,3/16/20
